answer,label
I come to one-on-one meeting without any update or topic prepared and the meeting feel like waste of time for both side.,0
"I handled a complaint so poorly once that I thought about it for days afterward, and it permanently changed how I respond to conflict.",1
"I read the instruction manual properly before attempting the task, and it saved me from the mistake everyone else was making.",1
He practice only when he feel like it and wonder why he not improving as fast as his friend who practice every day.,0
"I maintained my boundaries on working hours consistently, communicated them clearly, and my team respected them without exception.",1
"I practiced vulnerability in professional contexts by sharing what I was working on before it was finished, and the feedback accelerated my progress.",1
"My first venture failed within six months, and I spent the next year understanding exactly why before trying anything new.",1
"I kept showing up consistently even when progress felt invisible, trusting that the compounding would eventually become visible.",1
She follow Google Maps without looking where she actually walking and she walk into traffic without realizing the danger.,0
I volunteered at a food bank last winter and the experience shifted my perspective on what counts as a real problem.,1
I realized that the story I told about my past experiences was entirely in my control and started framing it more powerfully.,1
"I stopped optimizing for appearing smart and started optimizing for being genuinely useful, and the results spoke more clearly.",1
I trust my business partner fully without written agreement and when problem come I have no document to protect me.,0
"Forgiving someone who hurt me was not for their benefit but for mine, and that realization made the decision much easier.",1
I not build habit of review and reflect and keep making same mistake without having awareness of the pattern in it.,0
I work on wrong priority because I not align with manager on what matter most and wasted entire week on low impact.,0
I multitask in meeting and miss important decision and when I asked about it I not able to explain what was discuss.,0
"I made my expectations explicit in writing at the start of every significant collaboration, and conflict dropped noticeably.",1
"I started playing chess seriously and it taught me to think several moves ahead, which has helped me in non-chess situations too.",1
He missing training many time because of small excuse and then wonder why he not getting better at the sport.,0
"I built meaningful work by showing up every day and doing something that mattered, long before it looked like progress from the outside.",1
I committed to one deep focus block each day without interruption and it produced more meaningful work than three distracted hours would have.,1
I turned a failure into a case study for my team so that the lesson would not be lost and would benefit people beyond just myself.,1
He speak negative about colleague to other team member and word get back and it damage his working relationship.,0
"I track every expense I make and review it monthly, and this habit has probably saved me more money than any single financial advice.",1
"I learned to ask better questions by preparing them in advance, and found that my conversations became significantly more useful.",1
I memorize the integration formula but I not know when to applying which one and I always choose the wrong one.,0
"I learned that the best way to earn respect was to give it generously and consistently to everyone, regardless of their status.",1
"I set aside time for thinking without doing, and found that the output of those unscheduled thinking sessions was consistently valuable.",1
He start project without clear success criteria and at the end cannot evaluate if the work is actually done.,0
He arrive to client meeting without business card or any preparation and look disorganize and unprofessional to client.,0
I asked my team what was blocking them before each sprint and removing those blockers turned out to be the highest leverage thing I could do.,1
I say yes to too many project and then not able to give proper attention to any of them and quality suffer everywhere.,0
He not submit assignment on time and ask for extension but teacher not give it and he get zero for that part.,0
He not handle pressure well and make many error when deadline is close and blame everyone else for the mistake.,0
I confuse correlation and causation in my report and my supervisor ask me to rewriting the entire conclusion section.,0
I miss my flight because I think the airport is near but it very far and I not checking the location before leaving.,0
"I practiced handling interruptions by preparing a polite phrase to use, and it worked far better than I expected.",1
I make a mistake in the live code and everyone can see it and I wish I can just disappear from that moment.,0
"I have been learning Japanese for three years and I still feel like a beginner, but I can feel the depth growing underneath.",1
I set very big goal but not breaking it into small step and then feel overwhelm and do nothing at all about it.,0
I learned that discipline is not about motivation but about building systems that work even when motivation is completely absent.,1
She accept praise publicly but deflect blame privately to her team and slowly they all stop trusting her.,0
"I made a serious mistake in a SQL query once that affected live data, and that experience made me much more careful.",1
"I drafted a message, left it overnight, read it again in the morning, and was glad I waited before sending it.",1
"When I finally understood object-oriented programming, it changed how I thought about organizing all kinds of problems.",1
I practiced mental arithmetic every day for a month and it genuinely improved my confidence during timed tests.,1
"Sometimes I spend hours on a problem, and then someone tells me there is a built-in function that does exactly that.",1
I setup the server but I do it wrong and now it is not connecting to the database and I not know how to fix.,0
I burn the food because I am watching my phone and forget that I am cooking and now the whole kitchen smell bad.,0
I cancel plan with my friend many time and they stop inviting me and I only realize how much I hurt them very late.,0
I not have any question to ask at end of interview because I not prepare any and interviewer look disappoint by it.,0
"I learned a new tool in one weekend because the project required it, and that kind of necessity-driven learning has always worked well for me.",1
She not read the recipe until the end before starting and then she realize she not have one important ingredient.,0
He late to his interview because he not checking the address proper and he confuse and go to wrong building first.,0
"I asked for honest feedback from people I respect and some of what they said was difficult, but all of it was valuable.",1
"I hosted a dinner party for the first time and one dish was undercooked, but everyone was kind about it and I learned a lot.",1
Living abroad for a semester fundamentally changed how I understand my own culture and the assumptions I carry without realizing it.,1
I wait until I feel perfectly ready before taking on new responsibility and that moment is never actually come.,0
I not back up my file and then the computer crash and I lose everything and have to do all the work from beginning.,0
"I made a practice of checking my assumptions by asking one thoughtful question before acting on them, and it saved considerable rework.",1
I practice guitar every day for two month but I still playing the wrong chord and my teacher say I not pressing hard enough.,0
"I reached out to someone whose work I admired with a specific question rather than a generic compliment, and it started a real conversation.",1
I started paying attention to when I felt most energized at work and designed my schedule to match that pattern.,1
"Losing the final match after months of preparation was painful, but the growth I experienced during that journey was worth it.",1
I reviewed my goals at the end of each month and adjusted my approach based on what was actually working versus what I had assumed would work.,1
"I once admitted a mistake to a client instead of covering it up, and their respect for me actually increased as a result.",1
He argue with teacher that his answer is right but teacher show him that he misunderstanding the question completely.,0
She perform for first time and she so nerve that she play the wrong song and only realize it halfway through the piece.,0
She promise to help colleague and then forget and they remind her twice before she finally doing what she say she would.,0
I fail the exam and blame the teacher for not explaining well but honestly I not even read the chapter before the test.,0
"I started every project by identifying what I did not know, and bridging those gaps first saved considerable time later.",1
I become defensive when someone disagree with me even when their point is clearly better than what I suggest.,0
He not research before making claim in presentation and someone in audience correct him and he feel very embarrass.,0
"I experimented with fusion recipes last summer and some were disasters, but a few turned into my signature dishes.",1
I not seek input before making decision that affect others and they feel exclude and resist implementation after.,0
I find that I learn more from being wrong in class and understanding why than from getting answers right without reflection.,1
I know what need to be done but I keep pushing it to tomorrow and the problem grow bigger because I not addressing it.,0
"I failed a course once and instead of feeling defeated, I used it as a signal to completely rethink my approach to learning.",1
I avoid difficult conversation because I scared of conflict but then problem get bigger and harder to solve later.,0
I not stay current with development in my field and then surprise in meeting when someone mention thing I not heard of.,0
I say I will look into something and then forget and the person follow up twice before I finally respond to them.,0
I avoid difficult conversation about performance with my team member and the problem get much worse before I address it.,0
I create confusion by using different term for same thing in different document and no one know which is correct.,0
I forget important context when I explain task to new colleague and they do it wrong because I not give full picture.,0
She eat very less because she want to lose weight fast but she become weak and cannot concentrate on any of her work.,0
"I disagree with some of my friends on politics, but I have learned to engage with curiosity rather than defensiveness.",1
"I learned to manage my energy rather than just my time, and found that the distinction produced a significant improvement in output.",1
He come to work late many time and give different excuse each time and eventually manager stop believing anything he say.,0
"My first art piece was genuinely terrible, but I kept it to remind myself that every skill begins somewhere imperfect.",1
I not learn from pattern in my mistake because I not reviewing them and keep repeating variation of same error.,0
"I made a habit of celebrating small milestones, and found that recognizing progress sustained motivation far longer than waiting for major wins.",1
He not respect the time boundary of meeting and keep go over and people have to leave before conclusion is reach.,0
He make assumption about what client want instead of asking clear question and deliver the wrong thing entirely.,0
I started treating my learning time as a fixed appointment rather than something I fit in when I had spare time.,1
He think he understand the topic but when someone ask him to explain it he realize he only have surface knowledge of it.,0
I am very scare of the word problem in math because I not understanding what they asking me to calculate.,0
"I pushed myself too hard during exam season once and burned out completely, and that experience permanently changed my approach to self-care.",1
I not celebrate team success at all and team feel underappreciated and their motivation slowly drop over time.,0
I know I should networking but I feel too shy and awkward so I avoid all the event and then wonder why I not growing.,0
He not complete task to full standard because he feel it good enough and miss detail that matter to the client.,0
I paid close attention to how the most effective people around me handled stress and borrowed the techniques that seemed most transferable.,1
She not update her team on the progress and they think she not doing anything and her manager ask why she is so quiet.,0
"I took a course in something completely unrelated to my work, and the cross-domain thinking it unlocked has been surprisingly useful.",1
"My grandmother taught me patience in a way no formal education ever could, and I think about her approach regularly.",1
She always say she will doing it but never does and people have given up expecting her to follow through anymore.,0
He brag about his game ranking to friends who not play and they confuse and he feel lonely that no one share his excitement.,0
I prepare presentation the night before and when technology fail in the morning I have no backup and the whole thing collapse.,0
I take on too much responsibility because I scare to say no and then none of the task get proper attention from me.,0
I waste first hour of work day on low effort task and then find I not have enough energy for complex work later.,0
I cried the first time I played a piece all the way through without mistakes because it represented months of real struggle.,1
She overexplain every decision she make because she insecure and this make her communication slow and hard to follow.,0
She make commitment on behalf of team without check with them first and create impossible expectation for everyone.,0
She rushing through the problem and make silly mistake that she definitely knowing how to avoid if she more careful.,0
I let the quality of my attention to small things demonstrate the quality of attention I would bring to large ones.,1
"I tried to speak the local language even badly, and people appreciated the effort far more than I expected them to.",1
He think he can learn the song in one day and perform it next week but he not understanding how much practice it need.,0
I built a reputation for intellectual honesty by consistently acknowledging uncertainty rather than projecting false confidence.,1
